night,duration_seconds,duration_minutes,duration_hours,night_datetime,night_day,night_month,night_year,night_weekday,night_weekday_name,months_passed,days_passed
2024-04-20,20580,342.0,5.7,2024-04-20 05:10:33.174000+02:00,20,4,2024,6,Saturday,0,20
2024-04-21,18613,310.0,5.2,2024-04-21 02:44:18.281000+02:00,21,4,2024,7,Sunday,0,21
2024-04-22,18928,316.0,5.3,2024-04-22 06:14:12.793000+02:00,22,4,2024,1,Monday,0,22
2024-04-23,16860,281.0,4.7,2024-04-23 07:49:15.851000+02:00,23,4,2024,2,Tuesday,0,23
2024-04-24,22423,373.0,6.2,2024-04-24 03:41:47.153000+02:00,24,4,2024,3,Wednesday,0,24
2024-04-25,16651,277.0,4.6,2024-04-25 04:18:53.795000+02:00,25,4,2024,4,Thursday,0,25
2024-04-26,15400,257.0,4.3,2024-04-26 03:09:24.207000+02:00,26,4,2024,5,Friday,0,26
2024-04-27,17541,292.0,4.8,2024-04-27 03:03:16.227000+02:00,27,4,2024,6,Saturday,0,27
2024-04-28,18000,300.0,5.0,2024-04-28 02:39:09.925000+02:00,28,4,2024,7,Sunday,0,28
2024-04-29,16958,282.0,4.7,2024-04-29 03:01:51.933000+02:00,29,4,2024,1,Monday,0,29
2024-04-30,21514,359.0,5.8999999999999995,2024-04-30 04:24:24.359000+02:00,30,4,2024,2,Tuesday,0,30
2024-05-01,23233,387.0,6.4,2024-05-01 05:44:15.042000+02:00,1,5,2024,3,Wednesday,1,0
2024-05-02,22099,368.0,6.2,2024-05-02 03:06:38.733000+02:00,2,5,2024,4,Thursday,1,1
2024-05-03,22971,382.0,6.4,2024-05-03 06:24:01.325000+02:00,3,5,2024,5,Friday,1,2
2024-05-04,17582,293.0,4.9,2024-05-04 03:12:05.447000+02:00,4,5,2024,6,Saturday,1,3
2024-05-05,24327,406.0,6.7,2024-05-05 05:26:44.104000+02:00,5,5,2024,7,Sunday,1,4
2024-05-06,21332,356.0,6.0,2024-05-06 06:00:00+02:00,6,5,2024,1,Monday,1,5
2024-05-07,18540,309.0,5.2,2024-05-07 04:13:05.346000+02:00,7,5,2024,2,Tuesday,1,6
2024-05-08,27696,462.0,7.6000000000000005,2024-05-08 06:24:42.480000+02:00,8,5,2024,3,Wednesday,1,7
2024-05-09,19125,319.0,5.3,2024-05-09 05:27:01.767000+02:00,9,5,2024,4,Thursday,1,8
2024-05-10,22223,371.0,6.1,2024-05-10 04:54:42.699000+02:00,10,5,2024,5,Friday,1,9
2024-05-11,20402,341.0,5.7,2024-05-11 07:56:22.393000+02:00,11,5,2024,6,Saturday,1,10
2024-05-12,18713,313.0,5.3,2024-05-12 05:44:38.279000+02:00,12,5,2024,7,Sunday,1,11
2024-05-13,21791,363.0,6.0,2024-05-13 05:57:52.091000+02:00,13,5,2024,1,Monday,1,12
2024-05-14,24692,411.0,6.9,2024-05-14 07:30:00+02:00,14,5,2024,2,Tuesday,1,13
2024-05-15,22679,378.0,6.4,2024-05-15 06:39:18.055000+02:00,15,5,2024,3,Wednesday,1,14
2024-05-16,17552,292.0,4.8999999999999995,2024-05-16 04:44:37.173000+02:00,16,5,2024,4,Thursday,1,15
2024-05-17,20756,346.0,5.800000000000001,2024-05-17 03:31:23.392000+02:00,17,5,2024,5,Friday,1,16
2024-05-18,21848,364.0,6.1,2024-05-18 07:21:10.327000+02:00,18,5,2024,6,Saturday,1,17
2024-05-19,17429,290.0,4.8,2024-05-19 05:30:43.627000+02:00,19,5,2024,7,Sunday,1,18
2024-05-20,17606,293.0,4.8,2024-05-20 04:57:28.971000+02:00,20,5,2024,1,Monday,1,19
2024-05-21,19557,327.0,5.4,2024-05-21 05:58:39.415000+02:00,21,5,2024,2,Tuesday,1,20
2024-05-22,24633,410.0,6.8,2024-05-22 03:35:54.206000+02:00,22,5,2024,3,Wednesday,1,21
2024-05-23,15900,265.0,4.4,2024-05-23 04:00:00+02:00,23,5,2024,4,Thursday,1,22
2024-05-24,27075,452.0,7.5,2024-05-24 07:13:11.993000+02:00,24,5,2024,5,Friday,1,23
2024-05-25,20422,340.0,5.7,2024-05-25 05:04:32.777000+02:00,25,5,2024,6,Saturday,1,24
2024-05-26,20168,336.0,5.6,2024-05-26 05:17:41.228000+02:00,26,5,2024,7,Sunday,1,25
2024-05-27,22771,379.0,6.300000000000001,2024-05-27 07:17:57.005000+02:00,27,5,2024,1,Monday,1,26
2024-05-28,13584,226.0,3.7,2024-05-28 02:46:18.588000+02:00,28,5,2024,2,Tuesday,1,27
2024-05-29,14409,240.0,4.0,2024-05-29 05:38:00+02:00,29,5,2024,3,Wednesday,1,28
2024-05-30,20391,340.0,5.7,2024-05-30 04:20:26.467000+02:00,30,5,2024,4,Thursday,1,29
2024-05-31,23278,388.0,6.4,2024-05-31 04:38:42.839000+02:00,31,5,2024,5,Friday,2,0
2024-06-01,20570,343.0,5.6,2024-06-01 03:45:09.281000+02:00,1,6,2024,6,Saturday,2,1
2024-06-02,18862,314.0,5.2,2024-06-02 05:05:37.152000+02:00,2,6,2024,7,Sunday,2,2
2024-06-03,19874,332.0,5.5,2024-06-03 03:47:56.817000+02:00,3,6,2024,1,Monday,2,3
2024-06-04,20563,342.0,5.8,2024-06-04 07:05:00+02:00,4,6,2024,2,Tuesday,2,4
2024-06-05,23474,392.0,6.5,2024-06-05 03:59:19.726000+02:00,5,6,2024,3,Wednesday,2,5
2024-06-06,22221,370.0,6.2,2024-06-06 01:51:00.851000+02:00,6,6,2024,4,Thursday,2,6
2024-06-07,23205,387.0,6.4,2024-06-07 05:21:54.058000+02:00,7,6,2024,5,Friday,2,7
2024-06-08,22562,376.0,6.300000000000001,2024-06-08 04:57:11.793000+02:00,8,6,2024,6,Saturday,2,8
2024-06-09,21737,362.0,6.0,2024-06-09 07:05:00+02:00,9,6,2024,7,Sunday,2,9
2024-06-10,17613,294.0,4.9,2024-06-10 05:00:00+02:00,10,6,2024,1,Monday,2,10
2024-06-11,9938,166.0,2.7,2024-06-11 06:00:00+02:00,11,6,2024,2,Tuesday,2,11
2024-06-12,15064,250.0,4.2,2024-06-12 03:51:04.463000+02:00,12,6,2024,3,Wednesday,2,12
2024-06-13,24253,404.0,6.7,2024-06-13 05:00:25.699000+02:00,13,6,2024,4,Thursday,2,13
2024-06-14,23849,397.0,6.6,2024-06-14 06:18:27.426000+02:00,14,6,2024,5,Friday,2,14
2024-06-15,20692,344.0,5.800000000000001,2024-06-15 06:50:06.225000+02:00,15,6,2024,6,Saturday,2,15
2024-06-16,22909,380.0,6.4,2024-06-16 07:32:35.902000+02:00,16,6,2024,7,Sunday,2,16
2024-06-17,15257,255.0,4.1,2024-06-17 05:36:35.512000+02:00,17,6,2024,1,Monday,2,17
2024-06-18,23696,395.0,6.5,2024-06-18 06:54:00+02:00,18,6,2024,2,Tuesday,2,18
2024-06-19,16619,277.0,4.6,2024-06-19 05:01:00+02:00,19,6,2024,3,Wednesday,2,19
2024-06-20,20730,346.0,5.8,2024-06-20 06:36:14.169000+02:00,20,6,2024,4,Thursday,2,20
2024-06-21,15069,250.0,4.1,2024-06-21 06:11:40.840000+02:00,21,6,2024,5,Friday,2,21
2024-06-22,12403,207.0,3.4,2024-06-22 04:57:46.058000+02:00,22,6,2024,6,Saturday,2,22
2024-06-23,16478,275.0,4.6,2024-06-23 08:00:00+02:00,23,6,2024,7,Sunday,2,23
2024-06-24,19777,330.0,5.6,2024-06-24 02:13:17.261000+02:00,24,6,2024,1,Monday,2,24
2024-06-25,25119,419.0,7.0,2024-06-25 06:46:00+02:00,25,6,2024,2,Tuesday,2,25
